T:574284,AX:0.12,AY:-0.19,AZ:10.75,GX:45.75,GY:-6.65,GZ:11.08
T:574294,AX:0.34,AY:-0.32,AZ:14.22,GX:8.15,GY:-78.45,GZ:53.41
T:574304,AX:-2.15,AY:-7.33,AZ:7.88,GX:0.94,GY:-78.77,GZ:60.27
T:574314,AX:-2.79,AY:-8.93,AZ:8.44,GX:-23.61,GY:-32.09,GZ:-13.93
T:574324,AX:-0.76,AY:-4.94,AZ:12.69,GX:-55.34,GY:-20.83,GZ:-58.12
T:574334,AX:1.36,AY:0.46,AZ:15.85,GX:-91.93,GY:-64.65,GZ:-71.64
T:574344,AX:-0.02,AY:1.72,AZ:9.01,GX:-73.03,GY:-113.77,GZ:-21.60
T:574354,AX:-0.44,AY:-2.09,AZ:2.08,GX:-61.63,GY:-63.51,GZ:-7.20
T:574364,AX:0.14,AY:-3.09,AZ:6.75,GX:-47.74,GY:-17.23,GZ:-7.52
T:574374,AX:0.61,AY:-3.44,AZ:12.36,GX:-48.33,GY:-11.78,GZ:-14.07
T:574384,AX:0.99,AY:-1.04,AZ:18.92,GX:-54.56,GY:-54.77,GZ:-2.03
T:574394,AX:-0.53,AY:-1.85,AZ:13.83,GX:-80.00,GY:-113.78,GZ:23.87
T:574404,AX:-1.15,AY:-1.24,AZ:10.27,GX:-70.35,GY:-99.78,GZ:1.80
T:574414,AX:-0.42,AY:0.18,AZ:11.35,GX:-82.24,GY:-104.54,GZ:-9.41
T:574424,AX:0.03,AY:-0.61,AZ:9.87,GX:-107.95,GY:-121.26,GZ:1.70
T:574434,AX:0.22,AY:-1.93,AZ:5.38,GX:-104.51,GY:-114.44,GZ:18.35
T:574444,AX:1.30,AY:-4.07,AZ:3.68,GX:-89.86,GY:-69.78,GZ:30.09
T:574454,AX:1.73,AY:-3.16,AZ:4.90,GX:-85.05,GY:-54.47,GZ:27.20
T:574464,AX:1.16,AY:-2.32,AZ:3.90,GX:-82.74,GY:-43.80,GZ:38.12
T:574474,AX:0.37,AY:-1.33,AZ:2.26,GX:-19.26,GY:-5.05,GZ:40.65
T:574484,AX:1.59,AY:-3.35,AZ:6.90,GX:-5.70,GY:27.81,GZ:46.70
T:574494,AX:1.83,AY:-5.89,AZ:9.28,GX:-47.58,GY:5.75,GZ:49.66
T:574504,AX:2.04,AY:-6.24,AZ:8.01,GX:-86.99,GY:-17.83,GZ:32.10
T:574514,AX:2.37,AY:-4.77,AZ:5.10,GX:-99.46,GY:-24.64,GZ:24.79
T:574524,AX:1.63,AY:-7.06,AZ:2.76,GX:-85.55,GY:-14.25,GZ:32.93
T:574534,AX:0.87,AY:-9.59,AZ:2.06,GX:-66.42,GY:24.80,GZ:19.75
T:574544,AX:1.60,AY:-11.64,AZ:8.46,GX:-60.12,GY:58.01,GZ:-14.76
T:574554,AX:1.88,AY:-10.95,AZ:15.42,GX:-80.85,GY:23.67,GZ:-49.38
T:574564,AX:1.29,AY:-6.94,AZ:14.10,GX:-121.19,GY:-44.18,GZ:-78.38
T:574574,AX:2.14,AY:-0.55,AZ:8.98,GX:-114.50,GY:-58.58,GZ:-57.25
T:574584,AX:3.46,AY:-0.23,AZ:11.39,GX:-87.61,GY:-62.59,GZ:6.19
T:574594,AX:1.22,AY:2.50,AZ:10.67,GX:165.32,GY:-107.92,GZ:31.55
T:574604,AX:7.18,AY:-10.37,AZ:3.15,GX:-127.03,GY:-160.03,GZ:195.93
T:574614,AX:-1.26,AY:-23.91,AZ:-4.27,GX:71.74,GY:-100.21,GZ:118.91
T:574624,AX:-3.18,AY:-24.66,AZ:-4.08,GX:46.01,GY:-16.83,GZ:-20.27
T:574634,AX:-0.10,AY:-12.85,AZ:-0.44,GX:-27.63,GY:75.57,GZ:-123.48
T:574644,AX:2.25,AY:-2.18,AZ:10.34,GX:-56.54,GY:111.08,GZ:-123.52
T:574654,AX:4.31,AY:2.83,AZ:17.89,GX:16.61,GY:52.99,GZ:-30.06
T:574664,AX:1.62,AY:0.62,AZ:16.57,GX:5.00,GY:-27.63,GZ:24.54
T:574674,AX:3.32,AY:-6.66,AZ:12.38,GX:63.51,GY:-77.77,GZ:80.64
T:574684,AX:1.20,AY:-9.21,AZ:8.04,GX:209.78,GY:-56.19,GZ:100.18
T:574694,AX:1.60,AY:-9.53,AZ:2.54,GX:238.44,GY:-40.27,GZ:74.12
T:574704,AX:1.13,AY:-6.04,AZ:2.64,GX:224.19,GY:16.03,GZ:63.11
T:574714,AX:2.04,AY:-4.25,AZ:8.17,GX:183.93,GY:35.69,GZ:48.96
T:574724,AX:1.81,AY:-2.99,AZ:11.66,GX:151.08,GY:19.31,GZ:37.67
T:574734,AX:2.06,AY:-2.81,AZ:12.37,GX:67.69,GY:-17.40,GZ:28.12
T:574744,AX:2.22,AY:-2.62,AZ:8.92,GX:12.70,GY:-59.40,GZ:32.56
T:574754,AX:1.88,AY:-3.73,AZ:3.66,GX:4.22,GY:-54.73,GZ:35.51
T:574764,AX:1.44,AY:-6.35,AZ:1.89,GX:9.78,GY:-16.47,GZ:24.68
T:574774,AX:1.32,AY:-7.34,AZ:3.43,GX:-2.70,GY:26.45,GZ:-6.47
T:574784,AX:1.56,AY:-5.74,AZ:7.54,GX:-19.90,GY:45.03,GZ:-26.82
T:574794,AX:1.65,AY:-4.21,AZ:9.10,GX:-26.67,GY:38.71,GZ:-32.96
T:574804,AX:1.58,AY:-2.47,AZ:10.04,GX:-54.18,GY:32.90,GZ:-35.46
T:574814,AX:1.29,AY:-2.00,AZ:9.76,GX:-64.88,GY:21.89,GZ:-24.97
T:574824,AX:1.56,AY:-4.69,AZ:8.64,GX:-70.50,GY:17.89,GZ:-19.00
T:574834,AX:1.75,AY:-7.02,AZ:8.79,GX:-74.09,GY:25.98,GZ:-24.50
T:574844,AX:1.48,AY:-6.74,AZ:10.72,GX:-71.95,GY:26.50,GZ:-24.77
T:574854,AX:1.19,AY:-7.02,AZ:12.76,GX:-48.12,GY:15.41,GZ:-14.56
T:574864,AX:0.65,AY:-9.23,AZ:13.17,GX:-18.76,GY:-4.13,GZ:-13.23
T:574874,AX:0.20,AY:-10.35,AZ:12.23,GX:-20.59,GY:-25.06,GZ:-49.92
T:574884,AX:0.96,AY:-6.33,AZ:11.04,GX:-42.42,GY:-33.03,GZ:-88.65
T:574894,AX:1.50,AY:0.34,AZ:12.00,GX:-54.74,GY:-41.66,GZ:-88.48
T:574904,AX:1.76,AY:5.07,AZ:13.11,GX:-56.67,GY:-64.62,GZ:-37.43
T:574914,AX:2.60,AY:2.53,AZ:10.71,GX:-13.55,GY:-91.80,GZ:41.08
T:574924,AX:2.78,AY:-3.28,AZ:8.72,GX:17.70,GY:-97.22,GZ:81.00
T:574934,AX:2.19,AY:-7.96,AZ:7.54,GX:23.57,GY:-101.17,GZ:83.45
T:574944,AX:1.43,AY:-10.28,AZ:4.05,GX:17.46,GY:-87.70,GZ:58.94
T:574954,AX:1.73,AY:-11.39,AZ:3.87,GX:-1.29,GY:-57.87,GZ:17.26
T:574964,AX:1.04,AY:-10.38,AZ:3.70,GX:-40.21,GY:-36.51,GZ:-28.44
T:574974,AX:1.13,AY:-8.63,AZ:4.60,GX:-80.07,GY:-14.56,GZ:-73.11
T:574984,AX:3.04,AY:-7.52,AZ:3.51,GX:-93.37,GY:-6.83,GZ:-99.26
T:574994,AX:4.18,AY:-5.15,AZ:2.94,GX:-65.87,GY:19.84,GZ:-92.74
T:575004,AX:3.81,AY:-4.78,AZ:4.44,GX:-10.09,GY:43.25,GZ:-57.86
T:575014,AX:2.55,AY:-6.62,AZ:6.73,GX:16.99,GY:56.71,GZ:-45.80
T:575024,AX:2.56,AY:-8.13,AZ:8.91,GX:11.46,GY:55.74,GZ:-60.99
T:575034,AX:3.56,AY:-7.49,AZ:9.86,GX:6.68,GY:41.60,GZ:-75.64
T:575044,AX:3.05,AY:-5.39,AZ:9.56,GX:11.34,GY:28.77,GZ:-68.79
T:575054,AX:5.40,AY:15.15,AZ:31.19,GX:5.60,GY:35.95,GZ:-50.48
T:575064,AX:3.58,AY:7.35,AZ:22.03,GX:38.51,GY:-251.06,GZ:162.24
T:575074,AX:-0.98,AY:-12.68,AZ:-3.29,GX:15.19,GY:-195.86,GZ:149.23
T:575084,AX:-1.48,AY:-10.75,AZ:3.11,GX:-17.09,GY:-63.55,GZ:35.00
T:575094,AX:1.99,AY:-3.90,AZ:8.38,GX:12.16,GY:-47.49,GZ:4.15
T:575104,AX:3.71,AY:-0.57,AZ:9.84,GX:14.64,GY:-52.61,GZ:24.38
T:575114,AX:2.78,AY:0.54,AZ:8.90,GX:29.52,GY:-70.47,GZ:59.67
T:575124,AX:2.99,AY:2.95,AZ:5.14,GX:72.93,GY:-54.09,GZ:91.58
T:575134,AX:3.07,AY:4.19,AZ:3.71,GX:135.43,GY:-16.06,GZ:182.18
T:575144,AX:1.57,AY:0.69,AZ:3.51,GX:185.38,GY:26.88,GZ:237.31
T:575154,AX:0.82,AY:-1.78,AZ:5.03,GX:226.50,GY:70.91,GZ:271.89
T:575164,AX:0.29,AY:-4.63,AZ:7.65,GX:265.67,GY:95.37,GZ:284.01
T:575174,AX:-0.00,AY:-6.73,AZ:10.46,GX:283.61,GY:106.09,GZ:279.31
